"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"E005_03"	"E005_03a"	"E005_01"	"E005_01a"	"E005_02"	"E005_02a"	"E006_03"	"E006_03a"	"E006_01"	"E006_01a"	"E006_02"	"E006_02a"	"E007_03"	"E007_03a"	"E007_01"	"E007_01a"	"E007_02"	"E007_02a"	"E008_03"	"E008_03a"	"E008_01"	"E008_01a"	"E008_02"	"E008_02a"	"E009_03"	"E009_03a"	"E009_01"	"E009_01a"	"E009_02"	"E009_02a"	"E010_03"	"E010_03a"	"E010_01"	"E010_01a"	"E010_02"	"E010_02a"	"E011_03"	"E011_03a"	"E011_01"	"E011_01a"	"E011_02"	"E011_02a"	"E012_03"	"E012_03a"	"E012_01"	"E012_01a"	"E012_02"	"E012_02a"	"E013_03"	"E013_03a"	"E013_01"	"E013_01a"	"E013_02"	"E013_02a"	"SE04_01"	"SE04_01a"	"SE05_01"	"SE05_01a"	"SE06_01"	"SE06_01a"	"SE07_01"	"SE07_01a"	"SE08_01"	"SE08_01a"	"SE09_01"	"SE09_01a"	"SE10_01"	"SE10_01a"	"SE11_01"	"SE11_01a"	"SE12_01"	"SE12_01a"	"FB03"	"FB04_01"	"FB05"	"FB06"	"V101_01"	"V101_02"	"V101_03"	"V101_04"	"V101_05"	"V102_01"	"V102_02"	"V102_03"	"V102_04"	"V102_05"	"V103_01"	"V103_02"	"V103_03"	"V103_04"	"V103_05"	"V104_01"	"V104_02"	"V104_03"	"V104_04"	"V104_05"	"V105_01"	"V105_02"	"V105_03"	"V105_04"	"V105_05"	"V106_01"	"V106_02"	"V106_03"	"V106_04"	"V106_05"	"V107_01"	"V107_02"	"V107_03"	"V107_04"	"V107_05"	"V108_01"	"V108_02"	"V108_03"	"V108_04"	"V108_05"	"V109_01"	"V109_02"	"V109_03"	"V109_04"	"V109_05"	"V110_01"	"V110_02"	"V110_03"	"V110_04"	"V110_05"	"V111_01"	"V111_02"	"V111_03"	"V111_04"	"V111_05"	"V112_01"	"V112_02"	"V112_03"	"V112_04"	"V112_05"	"V113_01"	"V113_02"	"V113_03"	"V113_04"	"V113_05"	"V114_01"	"V114_02"	"V114_03"	"V114_04"	"V114_05"	"V115_01"	"V115_02"	"V115_03"	"V115_04"	"V115_05"	"V116_01"	"V116_02"	"V116_03"	"V116_04"	"V116_05"	"V117_01"	"V117_02"	"V117_03"	"V117_04"	"V117_05"	"V118_01"	"V118_02"	"V118_03"	"V118_04"	"V118_05"	"V119_01"	"V119_02"	"V119_03"	"V119_04"	"V119_05"	"V120_01"	"V120_02"	"V120_03"	"V120_04"	"V120_05"	"V121_01"	"V121_02"	"V121_03"	"V121_04"	"V121_05"	"V122_01"	"V122_02"	"V122_03"	"V122_04"	"V122_05"	"V123_01"	"V123_02"	"V123_03"	"V123_04"	"V123_05"	"V124_01"	"V124_02"	"V124_03"	"V124_04"	"V124_05"	"V125_01"	"V125_02"	"V125_03"	"V125_04"	"V125_05"	"V126_01"	"V126_02"	"V126_03"	"V126_04"	"V126_05"	"V127_01"	"V127_02"	"V127_03"	"V127_04"	"V127_05"	"V128_01"	"V128_02"	"V128_03"	"V128_04"	"V128_05"	"V129_01"	"V129_02"	"V129_03"	"V129_04"	"V129_05"	"V130_01"	"V130_02"	"V130_03"	"V130_04"	"V130_05"	"V131_01"	"V131_02"	"V131_03"	"V131_04"	"V131_05"	"V132_01"	"V132_02"	"V132_03"	"V132_04"	"V132_05"	"V133_01"	"V133_02"	"V133_03"	"V133_04"	"V133_05"	"V134_01"	"V134_02"	"V134_03"	"V134_04"	"V134_05"	"V135_01"	"V135_02"	"V135_03"	"V135_04"	"V135_05"	"V136_01"	"V136_02"	"V136_03"	"V136_04"	"V136_05"	"V001_01"	"V001_02"	"V001_03"	"V001_04"	"V001_05"	"V001_06"	"V002_01"	"V002_02"	"V002_03"	"V002_04"	"V002_05"	"V002_06"	"V003_01"	"V003_02"	"V003_03"	"V003_04"	"V003_05"	"V003_06"	"V004_01"	"V004_02"	"V004_03"	"V004_04"	"V004_05"	"V004_06"	"V005_01"	"V005_02"	"V005_03"	"V005_04"	"V005_05"	"V005_06"	"V006_01"	"V006_02"	"V006_03"	"V006_04"	"V006_05"	"V006_06"	"V007_01"	"V007_02"	"V007_03"	"V007_04"	"V007_05"	"V007_06"	"V008_01"	"V008_02"	"V008_03"	"V008_04"	"V008_05"	"V008_06"	"V009_01"	"V009_02"	"V009_03"	"V009_04"	"V009_05"	"V009_06"	"E501_01"	"E501_02"	"E501_03"	"E501_04"	"E501_05"	"E501_06"	"E501_07"	"E501_08"	"E501_09"	"E504_01"	"E504_02"	"E504_03"	"E504_04"	"E504_05"	"E504_06"	"E504_07"	"E504_08"	"E504_09"	"E503_01"	"E503_02"	"E503_03"	"E503_04"	"E503_05"	"E503_06"	"E503_07"	"E503_08"	"E503_09"	"TIME002"	"TIME003"	"TIME004"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME017"	"TIME018"	"TIME020"	"TIME022"	"TIME024"	"TIME026"	"TIME028"	"TIME030"	"TIME032"	"TIME034"	"TIME036"	"TIME037"	"TIME038"	"TIME039"	"TIME040"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
6			"base"	"interview"	2018-05-03 21:29:05	1	2463	1	1216	1	1028	1	4447	1	1128	1	619	1	3112	1	1035	1	276	1	2831	1	3543	1	1035	1	5055	6	2224	6	3454	1	6036	1	1316	1	1343	1	220188	1	3587	1	2370	1	3457	2	1131	2	1799	1	5924	1	2341	1	4191	1	2490	4	1851	1	4775	1	1753	2	1762	3	740	4	2594	4	1698	1	1345	1	22	6	1	"T208"	"2"	"7942"	"1"	"2"	"T207"	"2"	"10214"	"2"	"2"	"T205"	"2"	"13541"	"3"	"2"	"T201"	"1"	"233"	"4"	"2"	"T802"	"1"	"289"	"1"	"8"	"T805"	"2"	"19170"	"2"	"8"	"T806"	"2"	"16892"	"3"	"8"	"T807"	"2"	"9055"	"4"	"8"	"T504"	"1"	"9496"	"1"	"5"	"T501"	"1"	"13169"	"2"	"5"	"T503"	"1"	"19862"	"3"	"5"	"T507"	"2"	"324"	"4"	"5"	"T302"	"1"	"12"	"1"	"3"	"T308"	"2"	"7415"	"2"	"3"	"T307"	"2"	"8796"	"3"	"3"	"T306"	"2"	"9608"	"4"	"3"	"T103"	"1"	"97"	"1"	"1"	"T108"	"2"	"9354"	"2"	"1"	"T105"	"2"	"14812"	"3"	"1"	"T107"	"2"	"12785"	"4"	"1"	"T905"	"2"	"12445"	"1"	"9"	"T903"	"1"	"330"	"2"	"9"	"T906"	"2"	"5524"	"3"	"9"	"T907"	"2"	"16134"	"4"	"9"	"T701"	"1"	"321"	"1"	"7"	"T705"	"2"	"11688"	"2"	"7"	"T708"	"2"	"5282"	"3"	"7"	"T707"	"2"	"5500"	"4"	"7"	"T606"	"2"	"12477"	"1"	"6"	"T603"	"1"	"286"	"2"	"6"	"T607"	"2"	"6272"	"3"	"6"	"T608"	"2"	"7648"	"4"	"6"	"T406"	"2"	"11456"	"1"	"4"	"T408"	"2"	"10846"	"2"	"4"	"T407"	"2"	"9057"	"3"	"4"	"T402"	"1"	"422"	"4"	"4"	"T208"	"2"	"7942"	"1"	"2"	"2"	"T807"	"2"	"9055"	"4"	"2"	"8"	"T504"	"1"	"9496"	"1"	"2"	"5"	"T302"	"1"	"12"	"1"	"2"	"3"	"T108"	"2"	"9354"	"2"	"2"	"1"	"T906"	"2"	"5524"	"3"	"2"	"9"	"T707"	"2"	"5500"	"4"	"2"	"7"	"T608"	"2"	"7648"	"4"	"2"	"6"	"T406"	"2"	"11456"	"1"	"2"	"4"	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	0	0	0	0	0	9	9	0	191	32	39	227	10	9	6	7	12	5	5	7	227	3	2	5	1	2	1	3	2	1	369	21	14	10	25	610		2018-05-03 21:49:41	T	F	40	40	0	0	1.76	162
12			"base"	"interview"	2018-05-04 14:19:41	1	2244	2	926	2	2838	1	2214	4	3030	4	2414	1	2576	5	2150	4	9078	1	5684	5	5806	6	4462	1	3534	4	1654	3	2412	1	6188	4	1710	4	1356	1	8044	6	2844	2	4652	1	4860	5	1854	4	1228	1	20936	3	5838	3	2078	4	52078	1	25986	3	60926	1	22700	4	49090	3	19624	3	43824	2	8978	1	24210	1	24	5	1	"T206"	"2"	"10764"	"1"	"2"	"T208"	"2"	"5322"	"2"	"2"	"T202"	"1"	"338"	"3"	"2"	"T205"	"2"	"13833"	"4"	"2"	"T102"	"1"	"15279"	"1"	"1"	"T108"	"2"	"74"	"2"	"1"	"T104"	"1"	"9833"	"3"	"1"	"T103"	"1"	"15880"	"4"	"1"	"T304"	"1"	"24"	"1"	"3"	"T306"	"2"	"13517"	"2"	"3"	"T308"	"2"	"14200"	"3"	"3"	"T305"	"2"	"5031"	"4"	"3"	"T901"	"1"	"11865"	"1"	"9"	"T902"	"1"	"12826"	"2"	"9"	"T905"	"2"	"373"	"3"	"9"	"T904"	"1"	"16341"	"4"	"9"	"T405"	"2"	"17772"	"1"	"4"	"T403"	"1"	"80"	"2"	"4"	"T407"	"2"	"12204"	"3"	"4"	"T406"	"2"	"14193"	"4"	"4"	"T705"	"2"	"9669"	"1"	"7"	"T706"	"2"	"12164"	"2"	"7"	"T703"	"1"	"61"	"3"	"7"	"T708"	"2"	"13098"	"4"	"7"	"T808"	"2"	"12994"	"1"	"8"	"T805"	"2"	"16956"	"2"	"8"	"T804"	"1"	"120"	"3"	"8"	"T806"	"2"	"6657"	"4"	"8"	"T607"	"2"	"9532"	"1"	"6"	"T602"	"1"	"473"	"2"	"6"	"T608"	"2"	"15572"	"3"	"6"	"T606"	"2"	"8231"	"4"	"6"	"T502"	"1"	"402"	"1"	"5"	"T508"	"2"	"5504"	"2"	"5"	"T505"	"2"	"17027"	"3"	"5"	"T506"	"2"	"6420"	"4"	"5"	"T205"	"2"	"13833"	"4"	"2"	"2"	"T102"	"1"	"15279"	"1"	"2"	"1"	"T308"	"2"	"14200"	"3"	"2"	"3"	"T901"	"1"	"11865"	"1"	"2"	"9"	"T406"	"2"	"14193"	"4"	"2"	"4"	"T703"	"1"	"61"	"3"	"2"	"7"	"T804"	"1"	"120"	"3"	"2"	"8"	"T602"	"1"	"473"	"2"	"2"	"6"	"T502"	"1"	"402"	"1"	"2"	"5"	2	4	4	2	4	4	1	2	3	2	3	4	5	5	5	6	5	3	27	49	67	62	42	71	62	69	33	26	11	11	16	29	8	16	7	14	6	8	10	11	52	27	61	22	50	20	43	10	24	82	74	51	31	35	755		2018-05-04 14:32:16	T	F	40	40	0	0	0.89	6
13			"base"	"interview"	2018-05-04 14:19:53	1	3122	1	2127	5	3744	1	2958	1	1024	6	3526	1	3862	6	3135	4	3565	1	4233	5	3534	5	1295	1	5460	1	2990	5	2439	1	5715	1	8326	5	1934	1	5007	3	3872	3	1501	1	4543	1	8926	2	2446	1	10603	4	13398	2	8087	1	51265	2	57296	1	35361	1	35333	1	36987	4	37911	2	28930	1	45439	2	28120	1	24	5	1	"T206"	"2"	"16318"	"1"	"2"	"T204"	"1"	"47"	"2"	"2"	"T205"	"2"	"12251"	"3"	"2"	"T208"	"2"	"17996"	"4"	"2"	"T406"	"2"	"387"	"1"	"4"	"T402"	"1"	"7225"	"2"	"4"	"T404"	"1"	"7293"	"3"	"4"	"T403"	"1"	"5002"	"4"	"4"	"T704"	"1"	"217"	"1"	"7"	"T707"	"2"	"10158"	"2"	"7"	"T706"	"2"	"12994"	"3"	"7"	"T708"	"2"	"18199"	"4"	"7"	"T302"	"1"	"17032"	"1"	"3"	"T301"	"1"	"10805"	"2"	"3"	"T304"	"1"	"18783"	"3"	"3"	"T306"	"2"	"68"	"4"	"3"	"T902"	"1"	"14536"	"1"	"9"	"T901"	"1"	"12202"	"2"	"9"	"T904"	"1"	"11856"	"3"	"9"	"T906"	"2"	"65"	"4"	"9"	"T105"	"2"	"8687"	"1"	"1"	"T108"	"2"	"6804"	"2"	"1"	"T107"	"2"	"5813"	"3"	"1"	"T101"	"1"	"493"	"4"	"1"	"T607"	"2"	"11327"	"1"	"6"	"T605"	"2"	"6860"	"2"	"6"	"T601"	"1"	"119"	"3"	"6"	"T606"	"2"	"13552"	"4"	"6"	"T806"	"2"	"18573"	"1"	"8"	"T803"	"1"	"421"	"2"	"8"	"T807"	"2"	"15767"	"3"	"8"	"T808"	"2"	"9248"	"4"	"8"	"T508"	"2"	"15465"	"1"	"5"	"T507"	"2"	"8424"	"2"	"5"	"T503"	"1"	"32"	"3"	"5"	"T506"	"2"	"13192"	"4"	"5"	"T206"	"2"	"16318"	"1"	"2"	"2"	"T402"	"1"	"7225"	"2"	"2"	"4"	"T704"	"1"	"217"	"1"	"2"	"7"	"T302"	"1"	"17032"	"1"	"2"	"3"	"T902"	"1"	"14536"	"1"	"2"	"9"	"T101"	"1"	"493"	"4"	"2"	"1"	"T605"	"2"	"6860"	"2"	"2"	"6"	"T806"	"2"	"18573"	"1"	"2"	"8"	"T507"	"2"	"8424"	"2"	"2"	"5"	1	1	5	3	1	2	2	5	5	6	6	3	5	1	1	6	1	4	37	63	69	28	24	43	71	15	18	26	3	10	33	16	16	9	11	7	11	9	11	14	51	58	35	35	37	38	29	46	28	92	63	63	36	31	818		2018-05-04 14:33:31	T	F	40	40	0	0	0.78	1
14			"base"	"interview"	2018-05-04 14:19:54	1	4345	6	6038	4	9710	1	14773	1	6870	6	2334	1	16135	6	12600	5	11614	1	15217	1	12079	6	4038	1	4055	4	12839	2	4374	1	6857	1	8118	5	5742	1	5659	1	4214	2	3991	1	11473	6	41710	3	4527	1	10516	6	7401	3	4213	2	44001	1	27808	4	15760	2	7965	4	27008	4	13008	1	11332	3	27638	4	22360	2	30	5	1	"T303"	"1"	"6148"	"1"	"3"	"T304"	"1"	"10115"	"2"	"3"	"T302"	"1"	"12983"	"3"	"3"	"T306"	"2"	"402"	"4"	"3"	"T502"	"1"	"8946"	"1"	"5"	"T503"	"1"	"11570"	"2"	"5"	"T506"	"2"	"395"	"3"	"5"	"T501"	"1"	"11159"	"4"	"5"	"T605"	"2"	"5073"	"1"	"6"	"T603"	"1"	"63"	"2"	"6"	"T606"	"2"	"17752"	"3"	"6"	"T608"	"2"	"18220"	"4"	"6"	"T801"	"1"	"15465"	"1"	"8"	"T804"	"1"	"7546"	"2"	"8"	"T802"	"1"	"13325"	"3"	"8"	"T808"	"2"	"148"	"4"	"8"	"T701"	"1"	"467"	"1"	"7"	"T706"	"2"	"7442"	"2"	"7"	"T705"	"2"	"9728"	"3"	"7"	"T707"	"2"	"17664"	"4"	"7"	"T908"	"2"	"199"	"1"	"9"	"T902"	"1"	"9117"	"2"	"9"	"T903"	"1"	"16578"	"3"	"9"	"T904"	"1"	"5091"	"4"	"9"	"T103"	"1"	"19204"	"1"	"1"	"T108"	"2"	"392"	"2"	"1"	"T101"	"1"	"7725"	"3"	"1"	"T104"	"1"	"6656"	"4"	"1"	"T204"	"1"	"461"	"1"	"2"	"T206"	"2"	"9312"	"2"	"2"	"T208"	"2"	"5852"	"3"	"2"	"T205"	"2"	"11019"	"4"	"2"	"T405"	"2"	"15769"	"1"	"4"	"T402"	"1"	"78"	"2"	"4"	"T408"	"2"	"18178"	"3"	"4"	"T406"	"2"	"7500"	"4"	"4"	"T304"	"1"	"10115"	"2"	"2"	"3"	"T502"	"1"	"8946"	"1"	"2"	"5"	"T608"	"2"	"18220"	"4"	"2"	"6"	"T804"	"1"	"7546"	"2"	"2"	"8"	"T707"	"2"	"17664"	"4"	"2"	"7"	"T904"	"1"	"5091"	"4"	"2"	"9"	"T103"	"1"	"19204"	"1"	"2"	"1"	"T208"	"2"	"5852"	"3"	"2"	"2"	"T406"	"2"	"7500"	"4"	"2"	"4"	6	2	1	3	5	2	6	6	6	6	6	5	4	5	1	1	1	6	45	50	55	50	55	35	15	30	60	14	7	14	41	31	24	20	58	14	21	22	21	5	44	28	16	8	27	13	12	27	23	85	81	81	23	36	748		2018-05-04 14:33:10	T	F	40	40	0	0	0.88	9
15			"base"	"interview"	2018-05-04 14:19:55	1	3446	4	7864	4	15423	1	4609	6	19503	4	7319	1	2179	3	12653	4	4097	1	7089	5	14000	6	1270	1	3074	3	15598	6	1877	1	3086	2	11327	5	6222	1	6021	5	3550	3	11254	1	7715	2	6518	5	2791	1	1479	1	11632	6	1862	1	55111	3	44901	3	30281	4	24873	2	25707	4	34905	1	17682	1	15903	3	25627	1	24	5	1	"T403"	"1"	"18942"	"1"	"4"	"T402"	"1"	"13250"	"2"	"4"	"T406"	"2"	"249"	"3"	"4"	"T404"	"1"	"9489"	"4"	"4"	"T305"	"2"	"11016"	"1"	"3"	"T304"	"1"	"52"	"2"	"3"	"T308"	"2"	"15345"	"3"	"3"	"T307"	"2"	"16449"	"4"	"3"	"T607"	"2"	"5934"	"1"	"6"	"T601"	"1"	"209"	"2"	"6"	"T605"	"2"	"18040"	"3"	"6"	"T606"	"2"	"17602"	"4"	"6"	"T808"	"2"	"11857"	"1"	"8"	"T801"	"1"	"142"	"2"	"8"	"T805"	"2"	"7886"	"3"	"8"	"T806"	"2"	"16857"	"4"	"8"	"T507"	"2"	"17777"	"1"	"5"	"T504"	"1"	"416"	"2"	"5"	"T505"	"2"	"8132"	"3"	"5"	"T508"	"2"	"13374"	"4"	"5"	"T202"	"1"	"11112"	"1"	"2"	"T204"	"1"	"7130"	"2"	"2"	"T208"	"2"	"227"	"3"	"2"	"T201"	"1"	"19656"	"4"	"2"	"T701"	"1"	"14225"	"1"	"7"	"T708"	"2"	"92"	"2"	"7"	"T703"	"1"	"17794"	"3"	"7"	"T702"	"1"	"10353"	"4"	"7"	"T104"	"1"	"15139"	"1"	"1"	"T101"	"1"	"12541"	"2"	"1"	"T102"	"1"	"7779"	"3"	"1"	"T108"	"2"	"25"	"4"	"1"	"T903"	"1"	"180"	"1"	"9"	"T908"	"2"	"5890"	"2"	"9"	"T905"	"2"	"12300"	"3"	"9"	"T906"	"2"	"19149"	"4"	"9"	"T403"	"1"	"18942"	"1"	"2"	"4"	"T308"	"2"	"15345"	"3"	"2"	"3"	"T605"	"2"	"18040"	"3"	"2"	"6"	"T806"	"2"	"16857"	"4"	"2"	"8"	"T504"	"1"	"416"	"2"	"2"	"5"	"T201"	"1"	"19656"	"4"	"2"	"2"	"T701"	"1"	"14225"	"1"	"2"	"7"	"T104"	"1"	"15139"	"1"	"2"	"1"	"T905"	"2"	"12300"	"3"	"2"	"9"	4	6	2	2	5	4	2	5	2	5	4	2	4	4	3	5	1	2	55	82	60	65	53	34	61	23	34	54	22	29	32	21	19	21	20	23	15	27	17	45	55	45	31	24	26	35	18	16	26	175	75	85	30	30	1016		2018-05-04 14:36:51	T	F	40	40	0	0	0.61	1
16			"base"	"interview"	2018-05-04 14:20:03	1	4283	3	3695	2	2815	1	6136	4	4982	3	2015	1	4004	5	6727	3	3206	1	7642	5	5622	5	2728	1	4759	2	3454	5	3334	1	7506	2	2286	5	2159	1	4744	4	2784	3	4750	1	4773	2	4630	5	4327	1	6681	4	2335	4	6493	4	36692	4	29744	3	39056	1	31997	2	28020	4	27199	1	53443	1	37178	1	33057	2	22	5	1	"T704"	"1"	"153"	"1"	"7"	"T703"	"1"	"135"	"2"	"7"	"T708"	"2"	"8840"	"3"	"7"	"T701"	"1"	"150"	"4"	"7"	"T406"	"2"	"15038"	"1"	"4"	"T404"	"1"	"402"	"2"	"4"	"T402"	"1"	"104"	"3"	"4"	"T403"	"1"	"136"	"4"	"4"	"T608"	"2"	"31"	"1"	"6"	"T607"	"2"	"334"	"2"	"6"	"T606"	"2"	"437"	"3"	"6"	"T603"	"1"	"7645"	"4"	"6"	"T507"	"2"	"201"	"1"	"5"	"T501"	"1"	"8396"	"2"	"5"	"T506"	"2"	"465"	"3"	"5"	"T508"	"2"	"343"	"4"	"5"	"T308"	"2"	"7802"	"1"	"3"	"T302"	"1"	"42"	"2"	"3"	"T304"	"1"	"86"	"3"	"3"	"T301"	"1"	"295"	"4"	"3"	"T802"	"1"	"17011"	"1"	"8"	"T805"	"2"	"483"	"2"	"8"	"T806"	"2"	"50"	"3"	"8"	"T807"	"2"	"309"	"4"	"8"	"T904"	"1"	"240"	"1"	"9"	"T902"	"1"	"191"	"2"	"9"	"T903"	"1"	"282"	"3"	"9"	"T908"	"2"	"11667"	"4"	"9"	"T203"	"1"	"480"	"1"	"2"	"T202"	"1"	"183"	"2"	"2"	"T208"	"2"	"10744"	"3"	"2"	"T201"	"1"	"419"	"4"	"2"	"T101"	"1"	"8614"	"1"	"1"	"T105"	"2"	"75"	"2"	"1"	"T108"	"2"	"394"	"3"	"1"	"T107"	"2"	"378"	"4"	"1"	"T701"	"1"	"150"	"4"	"2"	"7"	"T403"	"1"	"136"	"4"	"2"	"4"	"T606"	"2"	"437"	"3"	"2"	"6"	"T507"	"2"	"201"	"1"	"2"	"5"	"T302"	"1"	"42"	"2"	"2"	"3"	"T807"	"2"	"309"	"4"	"2"	"8"	"T904"	"1"	"240"	"1"	"2"	"9"	"T203"	"1"	"480"	"1"	"2"	"2"	"T101"	"1"	"8614"	"1"	"2"	"1"	3	2	2	2	2	4	3	5	4	3	5	2	5	2	1	6	2	4	45	72	63	53	55	74	37	69	47	15	13	11	16	12	14	12	14	15	14	11	11	27	36	30	39	32	29	27	53	38	33	69	45	43	19	12	690		2018-05-04 14:31:33	T	F	40	40	0	0	0.84	4
17			"base"	"interview"	2018-05-04 14:20:13	1	2634	4	17142	2	4310	1	2924	1	4744	6	1638	1	3349	3	3191	5	2903	1	3700	2	2317	6	1646	1	2616	1	2049	4	1455	1	3849	1	3072	5	2166	1	2991	1	999	6	951	1	3593	1	1166	6	1736	1	4199	3	2598	5	1085	1	23260	3	14114	2	7929	3	7128	1	10849	1	6443	1	8595	3	27471	4	15204	2	36	5	1	"T407"	"2"	"104"	"1"	"4"	"T408"	"2"	"345"	"2"	"4"	"T406"	"2"	"432"	"3"	"4"	"T402"	"1"	"6689"	"4"	"4"	"T506"	"2"	"421"	"1"	"5"	"T505"	"2"	"407"	"2"	"5"	"T507"	"2"	"456"	"3"	"5"	"T502"	"1"	"6181"	"4"	"5"	"T807"	"2"	"149"	"1"	"8"	"T806"	"2"	"266"	"2"	"8"	"T805"	"2"	"96"	"3"	"8"	"T803"	"1"	"10774"	"4"	"8"	"T106"	"2"	"18949"	"1"	"1"	"T102"	"1"	"38"	"2"	"1"	"T104"	"1"	"61"	"3"	"1"	"T101"	"1"	"319"	"4"	"1"	"T606"	"2"	"14"	"1"	"6"	"T608"	"2"	"242"	"2"	"6"	"T605"	"2"	"32"	"3"	"6"	"T603"	"1"	"7479"	"4"	"6"	"T307"	"2"	"366"	"1"	"3"	"T306"	"2"	"157"	"2"	"3"	"T305"	"2"	"23"	"3"	"3"	"T303"	"1"	"11315"	"4"	"3"	"T905"	"2"	"224"	"1"	"9"	"T907"	"2"	"255"	"2"	"9"	"T906"	"2"	"348"	"3"	"9"	"T903"	"1"	"17001"	"4"	"9"	"T205"	"2"	"15"	"1"	"2"	"T204"	"1"	"7705"	"2"	"2"	"T208"	"2"	"163"	"3"	"2"	"T207"	"2"	"78"	"4"	"2"	"T705"	"2"	"49"	"1"	"7"	"T707"	"2"	"85"	"2"	"7"	"T703"	"1"	"5685"	"3"	"7"	"T706"	"2"	"345"	"4"	"7"	"T407"	"2"	"104"	"1"	"2"	"4"	"T507"	"2"	"456"	"3"	"2"	"5"	"T806"	"2"	"266"	"2"	"2"	"8"	"T104"	"1"	"61"	"3"	"2"	"1"	"T606"	"2"	"14"	"1"	"2"	"6"	"T307"	"2"	"366"	"1"	"2"	"3"	"T905"	"2"	"224"	"1"	"2"	"9"	"T208"	"2"	"163"	"3"	"2"	"2"	"T706"	"2"	"345"	"4"	"2"	"7"	4	3	1	1	3	1	6	6	3	5	3	1	1	2	1	1	1	3	40	70	70	25	40	60	70	70	40	22	9	8	24	9	7	9	8	10	8	5	6	28	24	14	8	7	11	7	8	28	15	44	55	55	33	16	478		2018-05-04 14:28:11	T	F	40	40	0	0	1.43	27
18			"base"	"interview"	2018-05-04 14:20:18	1	4870	5	1864	4	2927	1	10830	4	6656	2	1301	1	4252	3	5607	2	2174	1	13726	2	1966	5	1503	1	8855	5	14685	4	19318	1	9258	3	7343	3	935	1	24106	1	4686	5	3597	1	11432	3	25063	3	2880	1	17912	4	5101	3	1902	4	15396	3	38393	4	17066	3	17452	4	18218	2	31996	4	10270	4	12246	2	27977	2	23	5	1	"T202"	"1"	"5127"	"1"	"2"	"T201"	"1"	"17524"	"2"	"2"	"T204"	"1"	"17734"	"3"	"2"	"T208"	"2"	"245"	"4"	"2"	"T803"	"1"	"496"	"1"	"8"	"T806"	"2"	"19874"	"2"	"8"	"T808"	"2"	"11011"	"3"	"8"	"T805"	"2"	"19203"	"4"	"8"	"T607"	"2"	"6022"	"1"	"6"	"T606"	"2"	"10975"	"2"	"6"	"T604"	"1"	"15"	"3"	"6"	"T608"	"2"	"16369"	"4"	"6"	"T103"	"1"	"13432"	"1"	"1"	"T106"	"2"	"351"	"2"	"1"	"T102"	"1"	"6528"	"3"	"1"	"T101"	"1"	"16081"	"4"	"1"	"T908"	"2"	"342"	"1"	"9"	"T904"	"1"	"5221"	"2"	"9"	"T902"	"1"	"14510"	"3"	"9"	"T903"	"1"	"12386"	"4"	"9"	"T407"	"2"	"19231"	"1"	"4"	"T405"	"2"	"8525"	"2"	"4"	"T403"	"1"	"411"	"3"	"4"	"T406"	"2"	"8143"	"4"	"4"	"T508"	"2"	"204"	"1"	"5"	"T504"	"1"	"18153"	"2"	"5"	"T502"	"1"	"11272"	"3"	"5"	"T501"	"1"	"14024"	"4"	"5"	"T304"	"1"	"433"	"1"	"3"	"T307"	"2"	"11573"	"2"	"3"	"T306"	"2"	"17648"	"3"	"3"	"T308"	"2"	"17982"	"4"	"3"	"T708"	"2"	"9008"	"1"	"7"	"T707"	"2"	"18900"	"2"	"7"	"T701"	"1"	"431"	"3"	"7"	"T705"	"2"	"9616"	"4"	"7"	"T208"	"2"	"245"	"4"	"2"	"2"	"T808"	"2"	"11011"	"3"	"2"	"8"	"T608"	"2"	"16369"	"4"	"2"	"6"	"T102"	"1"	"6528"	"3"	"2"	"1"	"T903"	"1"	"12386"	"4"	"2"	"9"	"T405"	"2"	"8525"	"2"	"2"	"4"	"T501"	"1"	"14024"	"4"	"2"	"5"	"T308"	"2"	"17982"	"4"	"2"	"3"	"T707"	"2"	"18900"	"2"	"2"	"7"	5	5	2	1	3	6	6	3	4	4	3	3	4	3	4	3	6	4	40	40	35	15	25	40	10	15	15	28	11	15	43	40	17	33	17	10	25	12	19	41	16	38	17	18	18	32	10	13	28	81	83	66	19	43	793		2018-05-04 14:33:31	T	F	40	40	0	0	0.82	7
